[2026-04-22T00:47:30Z] issue=826 pattern=freeform_yn_bracket window=ap-twill-feat-826-tech-debt-inter-16245154
[2026-04-22T02:54:08Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:54:29Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:54:50Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:55:10Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:55:31Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:55:51Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:56:12Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:56:32Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:56:53Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:57:13Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:57:34Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:57:54Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:58:15Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:58:36Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:58:56Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:59:17Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:59:37Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:59:58Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:00:18Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:00:39Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:01:00Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:01:20Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:01:41Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:02:01Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:02:22Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:02:42Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:03:03Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:03:23Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:03:44Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:04:05Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:04:25Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:04:46Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:05:06Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:05:27Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:05:47Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:06:08Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:06:28Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:06:49Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:07:09Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:07:30Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:07:51Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:08:11Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:08:32Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:08:52Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:09:13Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:09:33Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:09:54Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:10:14Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:10:35Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:10:55Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:11:16Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:11:37Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:11:57Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:12:18Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:12:38Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:12:59Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:13:19Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:13:40Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:14:01Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:14:21Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:14:42Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:15:02Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:15:23Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:15:43Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:16:04Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:16:24Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:16:45Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:17:05Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:17:26Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:17:47Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:18:07Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:18:28Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:18:48Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:19:09Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:19:29Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:19:50Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:20:10Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:20:31Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:20:51Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:21:12Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:21:33Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:21:53Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:22:14Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:22:34Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:22:55Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:23:15Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:23:36Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:23:57Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:24:17Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:24:38Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:24:58Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:25:19Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:25:39Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:26:00Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:26:20Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:26:41Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:27:01Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:27:22Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:27:43Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:28:03Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:28:24Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:28:44Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:29:05Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:29:25Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:29:46Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:30:06Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:30:27Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:30:48Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:31:08Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:31:29Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:31:49Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:32:10Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:32:30Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:32:51Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:33:11Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:33:32Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:33:53Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:34:13Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:34:34Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:34:54Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:35:15Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:35:35Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:35:56Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:36:16Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:36:37Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:36:58Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:37:18Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:37:39Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:37:59Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:38:20Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:38:40Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:39:01Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:39:21Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:39:42Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:40:02Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:40:23Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:40:44Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:41:04Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:41:25Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:41:45Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:42:06Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:42:26Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:42:47Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:43:08Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:43:28Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:43:49Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:44:09Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:44:30Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:44:50Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:45:11Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:45:31Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:45:52Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:46:13Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:46:33Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:46:54Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:47:14Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:47:35Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:47:55Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:48:16Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:48:36Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:48:57Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:49:17Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:49:38Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:49:59Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:50:19Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:50:40Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:51:00Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:51:21Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:51:41Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:52:02Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:52:22Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:52:43Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:53:04Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:53:24Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:53:45Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:54:05Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:54:26Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:54:46Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:55:07Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:55:28Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:55:48Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:56:09Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:56:29Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:56:50Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:57:10Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:57:31Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:57:51Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:58:12Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:58:32Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:58:53Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:59:14Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T03:59:34Z] issue=842 pattern=menu_enter_select window=
